Topic Topic_0: mr, said, roddick, game, set, also, one, world, could, year
Topic Topic_1: music, said, band, song, year, album, one, new, number, u
Topic Topic_2: said, people, would, mr, government, site, law, could, user, also
Topic Topic_3: said, year, bank, mr, rate, growth, economy, market, u, month
Topic Topic_4: said, tv, film, year, people, first, time, one, number, world
Topic Topic_5: said, mr, would, labour, party, election, government, people, tory, say
Topic Topic_6: said, technology, music, mobile, people, digital, phone, year, player, one
Topic Topic_7: said, card, patent, china, software, id, open, year, would, show
Topic Topic_8: game, said, player, england, one, would, time, play, year, win
Topic Topic_9: club, said, liverpool, mr, would, glazer, united, chelsea, bid, gerrard
Topic Topic_10: said, mr, company, bn, year, u, firm, sale, new, would
Topic Topic_11: world, said, year, injury, win, last, second, race, champion, final
Topic Topic_12: said, new, conte, dvd, u, growth, jones, year, rate, phone
Topic Topic_13: price, market, oil, year, u, said, one, crude, time, week
Topic Topic_14: film, best, award, year, said, u, show, also, oscar, dollar
